example_id,customer_tweet_id,customer_id,customer_message,intent,expected_handling,handling_reason,reference_reply,created_at
GOLDEN_001,455443,223115,"For reference, this is what my invoice was supposed to bill to my card",billing_and_payment,AUTO_HANDLE,Standard informational inquiry for billing_and_payment: Can be resolved with policy guidance.,"I'm sorry about the issue you are having with your payment. We are not able to access account information through Twitter. To help get this matter resolved, please contact us directly here: https://t.co/hApLpMlfHN",Thu Nov 30 23:56:33 +0000 2017
GOLDEN_002,257809,177331,"hi Amazon, I have just had an e mail to say I have changed my e mail address (I haven't)now I can't log in and change my details",account_and_security,ESCALATE,Security-sensitive: Account access and identity verification cannot be resolved in public channels.,"Hi there, Nathan! I'm sorry to hear this! Please reach out here: https://t.co/zYVX1Qi29G, so we can look into this.",Thu Oct 05 20:10:33 +0000 2017
GOLDEN_003,1261851,219760,For the sake of God can you please tell me when is this damn seller Asteroid India gonna ship my item?!,order_status_delivery,AUTO_HANDLE,Standard informational inquiry for order_status_delivery: Can be resolved with policy guidance.,"I get your concern about the order. Once shipped we'll update you with the status, for further assistance please (1/2)",Thu Oct 26 10:36:00 +0000 2017
GOLDEN_004,153681,151178,"Help me collect the amazon prime and I did not realize that was a few minutes ago, at",subscription_and_prime,AUTO_HANDLE,Standard informational inquiry for subscription_and_prime: Can be resolved with policy guidance.,"We're here to help! If you're needing to cancel Prime, please see: https://t.co/GettNItRar. Let us know if that helps!",Fri Nov 24 16:21:35 +0000 2017
GOLDEN_005,270903,180628,please tell me how to sign in so my tv knows I have prime. It wants to charge me for all the prime movies that should be free,account_and_security,ESCALATE,Security-sensitive: Account access and identity verification cannot be resolved in public channels.,"Hey there! Have you tried deleting the app and then reinstalling it? When the app starts, sign in using your account info.",Fri Oct 06 02:15:44 +0000 2017
GOLDEN_006,378976,205939,very bad customer service...i m not able to contact anyone.....i need d invoice copy of my this order no....please do it faster,billing_and_payment,AUTO_HANDLE,Standard informational inquiry for billing_and_payment: Can be resolved with policy guidance.,"Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.",Mon Oct 09 06:06:52 +0000 2017
GOLDEN_007,91447,135822,Wrong item delivered yet charged for it,order_status_delivery,AUTO_HANDLE,Standard informational inquiry for order_status_delivery: Can be resolved with policy guidance.,"Oh no! I'm sorry for the troubles with this delivery! We want you to have a pleasant experience with us, so let's take a look to see what options we have for you! Can you tell me which Amazon site you order from?",Thu Nov 30 16:03:32 +0000 2017
GOLDEN_008,102881,138630,"Why are Amazon prime packages delivered in such a shady way? Like, hello there unmarked white van coming down our driveway, thank you for the package",subscription_and_prime,AUTO_HANDLE,Standard informational inquiry for subscription_and_prime: Can be resolved with policy guidance.,"Hi, Nora! Thanks for reaching out! Did something happen when you received your order? Could you please verify who the carrier was: https://t.co/zmfaHSOBuP. Please let us know!",Thu Nov 30 18:12:08 +0000 2017
GOLDEN_009,529084,242508,"""upload service is not responding"" - any idea? I want to get more music on my new echo!",digital_and_devices,AUTO_HANDLE,Standard informational inquiry for digital_and_devices: Can be resolved with policy guidance.,Have you checked your network connection?,Sat Dec 02 09:19:26 +0000 2017
GOLDEN_010,28931,122366,Now plz reach me soon and call me refund my money,returns_and_refunds,AUTO_HANDLE,Standard informational inquiry for returns_and_refunds: Can be resolved with policy guidance.,"Thank you for providing the details, Pardeep. We're working on it &amp; we'll get back to you with an update soon.",Mon Nov 06 12:06:33 +0000 2017
GOLDEN_011,1105602,380905,Thank you for being so easy to deal with and giving me my refund. Customer service is big for me. You awesome.,returns_and_refunds,AUTO_HANDLE,Standard informational inquiry for returns_and_refunds: Can be resolved with policy guidance.,Yay! We strive to make sure all of our customer's feel supported. Have a great evening!,Tue Oct 24 00:14:46 +0000 2017
GOLDEN_012,727655,294308,"#PBI17 Can I have English version of my book in Kindle Unlimited/Select, as well as translation in another language selling wide?",digital_and_devices,AUTO_HANDLE,Standard informational inquiry for digital_and_devices: Can be resolved with policy guidance.,"Hi Joanne, please reach out - https://t.co/yznv3FxAqZ we'll be happy to look into your query further.",Wed Oct 11 07:00:36 +0000 2017
GOLDEN_013,782341,306747,"I don't understand why I m being charged with Prime Membership, when I have purchased just annual prime membership of Amazon.in This is really annoying when amazon.in's customer service is not able to resolve my problem. HELP",subscription_and_prime,AUTO_HANDLE,Standard informational inquiry for subscription_and_prime: Can be resolved with policy guidance.,"Sorry to know you have an unknown charge for prime on https://t.co/nUUp5MLhYl. I'd like to take a closer look into this, please share your details on the link here: https://t.co/GIJyeYqKE0 and I'll get back to you soon.",Sat Nov 25 09:22:00 +0000 2017
GOLDEN_014,1127124,385757,There is no point since no update is given to me regarding product. If it's damaged please let me know. I'm already emailing since few days,damaged_defective_item,ESCALATE,Physical product issue: Damaged merchandise requires replacement order creation or refund approval.,"I'm sorry about that, I’d like to help you; please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. 1/2",Tue Oct 24 10:31:29 +0000 2017
GOLDEN_015,605212,263850,"hi, can’t figure out how to have multiple users attached to the Echo. I’ve looked online how to do it but the ‘manage household’ optio doesn’t appear to be anywhere on the app, any ideas? Thanks",digital_and_devices,AUTO_HANDLE,Standard informational inquiry for digital_and_devices: Can be resolved with policy guidance.,"Hi Dan, have you checked to make sure that the software on the app is fully up to date? You can find info about Household Profiles here: https://t.co/2pVe9oWmgW.",Wed Nov 22 10:28:30 +0000 2017
GOLDEN_016,347944,198858,. How will the warranty be considered by Amazon if purchase frm u...as many kindle develop issue later plz advise,digital_and_devices,AUTO_HANDLE,Standard informational inquiry for digital_and_devices: Can be resolved with policy guidance.,Kindle paperwhite is sold with a limited warranty of one year provided by the manufacturer.,Sun Oct 08 06:01:02 +0000 2017
GOLDEN_017,453171,222523,"No, not sure why because they extended the return window to a year. However they've just said 'we have lied, that policy is false information'... Is this for real Amazon? 🙈",returns_and_refunds,AUTO_HANDLE,Standard informational inquiry for returns_and_refunds: Can be resolved with policy guidance.,We'd like another chance to look into all available options. Please contact back once more by phone for real-time help: https://t.co/hApLpMlfHN,Fri Dec 01 00:13:00 +0000 2017
GOLDEN_018,667766,279170,two of my last 3 orders have come late. Why pay for Amazon prime then?,subscription_and_prime,AUTO_HANDLE,Standard informational inquiry for subscription_and_prime: Can be resolved with policy guidance.,I'm so sorry you received some of your orders late. I understand your frustration. We'd like to help. Do you have an issue with a current order: https://t.co/hApLpMlfHN?,Thu Nov 23 03:31:00 +0000 2017
GOLDEN_019,654261,274503,"I just checked my bank statements because I'm having issues with another company and then I found some BS unapproved charges from YOU guys ! What the heck amazon I loved you and now, trust broken.",billing_and_payment,ESCALATE,Financial dispute: Disputed charges require private transaction lookup and billing verification.,"Hello, Jess. I'm so sorry for the unexpected charges. I definitely understand the frustration. Do your bank statements indicate if they were made on https://t.co/nUUp5MLhYl or Amazon.ca?",Wed Nov 22 22:10:00 +0000 2017
GOLDEN_020,280430,182818,"When will you be fixing your PC app?: slow, interface locks up; consumes memory. It used to be so good; now almost unusable",damaged_defective_item,ESCALATE,Physical product issue: Damaged merchandise requires replacement order creation or refund approval.,Sorry to hear you're having an issue. Can you contact us here: https://t.co/JzP7hlA23B?,Fri Oct 06 10:21:32 +0000 2017
GOLDEN_021,856027,323282,That leads me to a link to sign in.,account_and_security,ESCALATE,Security-sensitive: Account access and identity verification cannot be resolved in public channels.,"There is a link at the bottom of that page that says skip sign in. If you click that, it will take you to a form.",Thu Oct 19 15:56:39 +0000 2017
GOLDEN_022,1225653,407548,I was looking forward for compensation and i didnot get that yet. Any update?,order_status_delivery,AUTO_HANDLE,Standard informational inquiry for order_status_delivery: Can be resolved with policy guidance.,"We're sorry about that, but we don't have a compensation policy. Appreciate your understanding.",Fri Oct 27 17:17:00 +0000 2017
GOLDEN_023,1057953,369792,"After 7 years, i am finally canceling my Prime Membership. Recent delivery issues and poor packaging have made it more of a hassle than a convenience.",subscription_and_prime,AUTO_HANDLE,Standard informational inquiry for subscription_and_prime: Can be resolved with policy guidance.,I'm sorry for the poor experience you had with us. Have these delivery issues been occurring with a specific carrier?,Sat Oct 14 21:25:26 +0000 2017
GOLDEN_024,265005,179128,l refuse to order through amazon until they stop using their shitty yellow envelopes as literally my past 5 orders have come damaged.,damaged_defective_item,ESCALATE,Physical product issue: Damaged merchandise requires replacement order creation or refund approval.,I'm sorry we haven't packaged your orders adequately! Were you able to get these items replaced?,Thu Oct 05 23:03:32 +0000 2017
