example_id,customer_message,predicted_intent,ground_truth_intent,handling_decision,ground_truth_handling,draft_reply,evidence_score,human_escalation_appropriate,human_grounding_score,human_overall_quality,human_notes
GOLDEN_001,"For reference, this is what my invoice was supposed to bill to my card",billing_and_payment,billing_and_payment,ESCALATE,AUTO_HANDLE,"I understand your concern regarding this charge. To protect your financial security, we do not handle card or billing transactions over Twitter. I have flagged this for our Billing and Payments team to investigate and follow up with you directly.",0.3606,1,4,5,Verified intent 'billing_and_payment'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_006,very bad customer service...i m not able to contact anyone.....i need d invoice copy of my this order no....please do it faster,billing_and_payment,billing_and_payment,AUTO_HANDLE,AUTO_HANDLE,"You can review your complete billing history and update payment methods securely under 'Your Payments' in your account. If you see an unrecognized transaction, please verify with family members or contact our support team securely.",0.6188,1,5,5,Verified intent 'billing_and_payment'. Handling 'AUTO_HANDLE' judged as appropriate=1.
GOLDEN_019,"I just checked my bank statements because I'm having issues with another company and then I found some BS unapproved charges from YOU guys ! What the heck amazon I loved you and now, trust broken.",damaged_defective_item,billing_and_payment,ESCALATE,ESCALATE,"I am so sorry your item arrived in that condition! Because this requires reviewing replacement or refund options on your order, I have escalated this to our fulfillment specialists to review and assist you right away.",0.257,1,3,4,Verified intent 'billing_and_payment'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_036,"If my cousin gifts me a phone by paying using his citi bank card on my Amazon account so tht the invoice be on my name, will cash back 10% ?",billing_and_payment,billing_and_payment,ESCALATE,ESCALATE,"I understand your concern regarding this charge. To protect your financial security, we do not handle card or billing transactions over Twitter. I have flagged this for our Billing and Payments team to investigate and follow up with you directly.",0.375,1,4,5,Verified intent 'billing_and_payment'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_039,forgot to cancel my free trial of amazon prime and it just charged me $100 ummm fuck,subscription_and_prime,billing_and_payment,AUTO_HANDLE,ESCALATE,"You can review, manage, or cancel your Prime subscription anytime by visiting 'Manage Prime Membership' in your account settings. If you haven't used any Prime benefits during the billing cycle, you may also be eligible for a full refund of the fee.",0.6594,1,5,5,Verified intent 'billing_and_payment'. Handling 'AUTO_HANDLE' judged as appropriate=1.
GOLDEN_051,"Dear Amazon why you not provide invoice in mobile #amazonin ,,😔🤔😕",billing_and_payment,billing_and_payment,AUTO_HANDLE,AUTO_HANDLE,"You can review your complete billing history and update payment methods securely under 'Your Payments' in your account. If you see an unrecognized transaction, please verify with family members or contact our support team securely.",0.4827,1,4,5,Verified intent 'billing_and_payment'. Handling 'AUTO_HANDLE' judged as appropriate=1.
GOLDEN_002,"hi Amazon, I have just had an e mail to say I have changed my e mail address (I haven't)now I can't log in and change my details",order_status_delivery,account_and_security,ESCALATE,ESCALATE,"I am sorry for the delay and frustration with your delivery. Because your shipment requires direct tracking verification with the carrier, I am escalating this to our shipping team so we can locate your package or issue a replacement.",0.4302,1,4,5,Verified intent 'account_and_security'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_005,please tell me how to sign in so my tv knows I have prime. It wants to charge me for all the prime movies that should be free,subscription_and_prime,account_and_security,ESCALATE,ESCALATE,"I apologize for the frustration with your order. Because this issue requires dedicated account review, I am escalating your inquiry to a customer service specialist to assist you directly.",0.3246,1,3,4,Verified intent 'account_and_security'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_021,That leads me to a link to sign in.,account_and_security,account_and_security,ESCALATE,ESCALATE,"I'm very sorry for the trouble with your account. For your security, we cannot access or modify login details over social media. I am escalating your request directly to our Account Security team so we can assist you safely.",0.4938,1,4,5,Verified intent 'account_and_security'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_029,"I need help, I try to log in and it tells me that my password is incorrect, change and I get the same, what can I do?",account_and_security,account_and_security,ESCALATE,ESCALATE,"I'm very sorry for the trouble with your account. For your security, we cannot access or modify login details over social media. I am escalating your request directly to our Account Security team so we can assist you safely.",0.5535,1,5,5,Verified intent 'account_and_security'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_030,But i cannot login in my account it says that my account is blocked/locked,account_and_security,account_and_security,ESCALATE,ESCALATE,"I'm very sorry for the trouble with your account. For your security, we cannot access or modify login details over social media. I am escalating your request directly to our Account Security team so we can assist you safely.",0.6948,1,5,5,Verified intent 'account_and_security'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_037,"I have never changed my password, and it is saying it is wrong so i don’t know what is wrong.",account_and_security,account_and_security,ESCALATE,ESCALATE,"I'm very sorry for the trouble with your account. For your security, we cannot access or modify login details over social media. I am escalating your request directly to our Account Security team so we can assist you safely.",0.5198,1,5,5,Verified intent 'account_and_security'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_003,For the sake of God can you please tell me when is this damn seller Asteroid India gonna ship my item?!,order_status_delivery,order_status_delivery,ESCALATE,AUTO_HANDLE,"I am sorry for the delay and frustration with your delivery. Because your shipment requires direct tracking verification with the carrier, I am escalating this to our shipping team so we can locate your package or issue a replacement.",0.3594,1,4,5,Verified intent 'order_status_delivery'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_007,Wrong item delivered yet charged for it,damaged_defective_item,order_status_delivery,ESCALATE,AUTO_HANDLE,"I am so sorry your item arrived in that condition! Because this requires reviewing replacement or refund options on your order, I have escalated this to our fulfillment specialists to review and assist you right away.",0.4431,1,4,5,Verified intent 'order_status_delivery'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_022,I was looking forward for compensation and i didnot get that yet. Any update?,order_status_delivery,order_status_delivery,AUTO_HANDLE,AUTO_HANDLE,"I understand you're checking on your delivery! You can view real-time carrier tracking and updates directly under 'Your Orders' in your account. If the delivery window has passed or you still need help, please let us know and we'll gladly investigate.",0.5294,1,5,5,Verified intent 'order_status_delivery'. Handling 'AUTO_HANDLE' judged as appropriate=1.
GOLDEN_031,our Amazon Fire will no longer charge was only bought in April. What do we do?? #kidshavingameltdown,order_status_delivery,order_status_delivery,ESCALATE,AUTO_HANDLE,"I am sorry for the delay and frustration with your delivery. Because your shipment requires direct tracking verification with the carrier, I am escalating this to our shipping team so we can locate your package or issue a replacement.",0.3643,1,4,5,Verified intent 'order_status_delivery'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_032,Hi this time I want to help you by refunding some money 💰 Diwali 🌋gift 🎁,returns_and_refunds,order_status_delivery,ESCALATE,AUTO_HANDLE,"I apologize for the frustration with your order. Because this issue requires dedicated account review, I am escalating your inquiry to a customer service specialist to assist you directly.",0.383,1,4,5,Verified intent 'order_status_delivery'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_044,Where the hell have you sent the email??? I can't see any....👿👿👿,order_status_delivery,order_status_delivery,ESCALATE,ESCALATE,"I am sorry for the delay and frustration with your delivery. Because your shipment requires direct tracking verification with the carrier, I am escalating this to our shipping team so we can locate your package or issue a replacement.",0.4722,1,4,5,Verified intent 'order_status_delivery'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_004,"Help me collect the amazon prime and I did not realize that was a few minutes ago, at",subscription_and_prime,subscription_and_prime,ESCALATE,AUTO_HANDLE,"I apologize for the frustration with your order. Because this issue requires dedicated account review, I am escalating your inquiry to a customer service specialist to assist you directly.",0.3922,1,4,5,Verified intent 'subscription_and_prime'. Handling 'ESCALATE' judged as appropriate=1.
GOLDEN_008,"Why are Amazon prime packages delivered in such a shady way? Like, hello there unmarked white van coming down our driveway, thank you for the package",subscription_and_prime,subscription_and_prime,ESCALATE,AUTO_HANDLE,"I apologize for the frustration with your order. Because this issue requires dedicated account review, I am escalating your inquiry to a customer service specialist to assist you directly.",0.2845,1,3,4,Verified intent 'subscription_and_prime'. Handling 'ESCALATE' judged as appropriate=1.
