customer_tweet_id,customer_id,customer_message,reference_reply,reply_tweet_id,intent,created_at
617,115820,Way to drop the ball on customer service so pissed right now!,"I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help.",615,order_status_delivery,Tue Oct 31 22:29:00 +0000 2017
616,115820,"3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN,618,order_status_delivery,Tue Oct 31 23:28:00 +0000 2017
621,115822,I want my amazon payments account CLOSED. dm me please.,"I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN",620,order_status_delivery,Tue Oct 31 22:28:34 +0000 2017
624,115824,"also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?","Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß",622,order_status_delivery,Tue Oct 31 22:28:00 +0000 2017
623,115824,"Okay, danke für die Info",Wir haben zu danken. Schönen Abend noch.,625,order_status_delivery,Tue Oct 31 22:34:32 +0000 2017
628,115826,How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date.,626,order_status_delivery,Tue Oct 31 22:28:00 +0000 2017
627,115827,Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,Thanks for your patience.,629,order_status_delivery,Wed Nov 01 12:53:34 +0000 2017
632,115829,my package was ‘accidentally’ opened.. 4 items missing worth £97. You need better delivery drivers!!,I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B,631,order_status_delivery,Tue Oct 31 22:27:00 +0000 2017
634,115831,why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B,633,order_status_delivery,Tue Oct 31 22:26:37 +0000 2017
636,115832,"Thanks for the style advice, look ...I think? #Halloween2017 #flamingo",Alexa says both styles are working for you! My vote goes to the Flamingo look!,635,order_status_delivery,Tue Oct 31 22:26:07 +0000 2017
638,115834,Hi ready for some help,Were you able to reach us at the link DW provided?,637,order_status_delivery,Tue Oct 31 22:26:07 +0000 2017
640,115834,Is the Echo Show no longer supported?,"The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN",639,digital_and_devices,Tue Oct 31 01:09:35 +0000 2017
643,115834,"Bought an Echo Show and it won’t recognize a single account in our household. WTF, guys?","Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES",642,digital_and_devices,Tue Oct 31 00:52:39 +0000 2017
649,115836,"In response to your packing video, this packaging was for a 2ft washing line pole",Thanks for bringing this to our attention! Please also leave packing feedback here: https://t.co/PMiShxgPvp so we may improve.,648,order_status_delivery,Tue Oct 31 22:24:47 +0000 2017
657,115839,"Already handled, just venting. It was a pretty big bummer.",Let us know if there’s anything else we can do for you! We're happy to help out any way we can!,656,order_status_delivery,Tue Oct 31 22:21:10 +0000 2017
659,115839,", it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin…",I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF,658,damaged_defective_item,Tue Oct 31 22:11:00 +0000 2017
664,115842,"delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",Oh no! Please contact us via phone/chat here: https://t.co/JzP7hlA23B We're unable to view order details via Twitter.,663,returns_and_refunds,Tue Oct 31 22:20:34 +0000 2017
667,115843,"Anna Inspired in idea lab at school to be package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna.",You're not lion! She even shows witch way is up! That's quite the wardrobe!,665,order_status_delivery,Tue Oct 31 22:19:29 +0000 2017
676,115846,Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol,That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: https://t.co/hApLpMlfHN,675,order_status_delivery,Tue Oct 31 22:17:27 +0000 2017
686,115849,Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated new status will be provided in 1 day!,Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2,684,order_status_delivery,Tue Oct 31 22:17:00 +0000 2017
685,115849,Details sent. Please check.,Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly.,687,order_status_delivery,Wed Nov 01 05:32:57 +0000 2017
690,115849,Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2,689,order_status_delivery,Tue Oct 31 21:54:32 +0000 2017
693,115852,since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits: https://t.co/80y2YnlQGJ,692,subscription_and_prime,Tue Oct 31 22:16:00 +0000 2017
695,115853,Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.,I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here: https://t.co/z6evtFsZI5,694,order_status_delivery,Tue Oct 31 22:15:28 +0000 2017
1695,116081,my order hasn’t arrived (it was due 14th October). Can you help?,Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order?,1692,order_status_delivery,Tue Oct 31 22:43:00 +0000 2017
1693,116081,but I can’t find the options to cancel or re-order?,I'm sorry for the delay! We'd like to take a further look into this with you! Please reach us here: https://t.co/hApLpMlfHN,1696,order_status_delivery,Tue Oct 31 22:58:00 +0000 2017
1699,116082,I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund?,Canceling your Prime membership can be done here:https://t.co/MlOxxuNX7N. You'll be shown your estimated refund there.,1697,returns_and_refunds,Tue Oct 31 22:42:00 +0000 2017
1698,116082,Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you.,1700,subscription_and_prime,Tue Oct 31 22:52:33 +0000 2017
1701,116082,You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?,It would be best if you get in touch with us by phone or chat.use this link to do so: https://t.co/hApLpMlfHN,1704,order_status_delivery,Tue Oct 31 23:06:00 +0000 2017
1706,116083,"I have tried. It’s not allowing me to access my account to cancel my membership, I haven’t even used prime in almost 3 months.",I'm sorry to hear you're not able to access your account. Please use this link instead to contact us: https://t.co/zYVX1Qi29G.,1705,order_status_delivery,Tue Oct 31 22:42:00 +0000 2017
